,Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,Power,Transmission,Park assist,Service history,Immobilizer,Cruise control
0,"11,233 EUR",Mercury,Grand Marquis,NaN,"30,577km",1985,NaN,Sedan,Gray,87 kW(118 HP),Automatic,0,0,0,0
1,"9,129 EUR",Mercury,Grand Marquis,NaN,"30,577km",1985,Petrol,NaN,Black,NaN,Automatic,0,0,0,0
2,"3,511 EUR",Mercury,Grand Marquis,NaN,"69,201km",1985,Petrol,NaN,Gray,NaN,NaN,0,0,0,0
3,"5,958 EUR",Mercury,Grand Marquis Wagon,NaN,"40,064km",1985,Petrol,NaN,Brown,NaN,NaN,0,0,0,0
4,"4,364 EUR",Subaru,Pleo L Limited,NaN,"80,467km",1985,Petrol,Sedan,White,NaN,NaN,0,0,0,0
5,"2,641 EUR",Subaru,Justy,NaN,"27,4966km",1985,Petrol,NaN,Black,NaN,Automatic,0,0,0,0
6,"4,020 EUR",Subaru,Other,NaN,"45,0616km",1985,Petrol,NaN,White,NaN,NaN,0,0,0,0
7,"2,408 EUR",Subaru,Other,NaN,"198,683km",1985,Petrol,NaN,Black,NaN,NaN,0,0,0,0
8,"2,756 EUR",Honda,Civic,NaN,"136,794km",1985,Petrol,Sedan,White,NaN,Manual,0,0,0,0
9,"3,100 EUR",Honda,Civic,NaN,"241,401km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
10,"2,181 EUR",Honda,Civic,NaN,"160,934km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
11,"5,161 EUR",Honda,Civic Hatchback,NaN,"17,881km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
12,"6,315 EUR",Honda,Civic Si,NaN,"17,702km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
13,"5,511 EUR",Honda,Civic,NaN,"93,341km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
14,"5,167 EUR",Honda,Civic Si,NaN,"804,672km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
15,"15,349 EUR",Bmw,E28 535i M5 Sport,NaN,"139,000km",1985,Petrol,Saloon,Red,NaN,Manual,0,0,0,0
16,"10,033 EUR",Bmw,Cabrio,NaN,"141,400km",1985,Petrol,Cabrio,Red,NaN,Manual,0,0,0,0
17,"26,517 EUR",Bmw,6 Series,NaN,"54,000km",1985,Petrol,Coupe,Black,NaN,Automatic,0,0,0,0
18,"3,791 EUR",Nissan,Gloria,NaN,"241,401km",1985,Petrol,Sedan,White,NaN,Manual,0,0,0,0
19,"4,014 EUR",Nissan,Sunny,NaN,"269,549km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
20,"4,014 EUR",Nissan,Sunny,NaN,"343,514km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
21,"29,660 EUR",Isuzu,Other,NaN,"175,000km",1985,Petrol,Sedan,White,NaN,Manual,0,0,0,0
22,"27,800 EUR",Isuzu,Cabrio,NaN,"147,799km",1985,Petrol,Saloon,Brown,NaN,Manual,0,0,0,0
23,"21,714 EUR",Mazda,Savanna,NaN,"77,717km",1985,Petrol,NaN,Gray,NaN,Manual,0,0,0,0
24,"27,800 EUR",Mazda,Savanna,NaN,"62,535km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
25,"8,958 EUR",Volvo,740,NaN,"138,000km",1985,Petrol,NaN,Gray,NaN,Automatic,0,0,0,0
26,"7,272 EUR",Mitsubishi,Canter,NaN,"37,000km",1985,Diesel,Truck,Blue,NaN,Manual,0,0,0,0
27,"8,399 EUR",Mitsubishi,Fighter,NaN,"186,000km",1985,Diesel,Truck,Green,NaN,Manual,0,0,0,0
28,"8,958 EUR",Mitsubishi,Canter,NaN,"41,320km",1985,Diesel,Truck,Blue,NaN,Manual,0,0,0,0
29,"22,000 EUR",Chevrolet,Autres,NaN,"281,635km",1985,Petrol,NaN,Gray,NaN,Automatic,0,0,0,0
30,"40,000 EUR",Chevrolet,K30,NaN,"5,000km",1985,Diesel,NaN,Gray,NaN,Manual,0,0,0,0
31,"2,750 EUR",Chevrolet,Caprice,NaN,"999,999km",1985,Petrol,NaN,White,NaN,Automatic,0,0,0,0
32,"14,000 EUR",Chevrolet,Autres,NaN,"185,075km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
33,"14,000 EUR",Chevrolet,Autres,NaN,"185,075km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
34,"16,900 EUR",Chevrolet,Canaro,NaN,"109,752km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
35,"26,800 EUR",Chevrolet,El Camino,NaN,"43,249km",1985,Petrol,NaN,Black,NaN,Automatic,0,0,0,0
36,"16,900 EUR",Chevrolet,Camaro,NaN,"109,752km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
37,"56,140 EUR",Chevrolet,Chevy,NaN,"14,026km",1985,Petrol,Van,Blue,NaN,Automatic,0,0,0,0
38,"14,950 EUR",Chevrolet,Chevy,NaN,"115,000km",1985,Petrol,Van,Blue,NaN,Automatic,0,0,0,0
39,"19,999 EUR",Chevrolet,Caprice,NaN,"99,999km",1985,Petrol,NaN,Blue,NaN,Automatic,0,0,0,0
40,"7,500 EUR",Chevrolet,Blazer,NaN,"134,000km",1985,Diesel,NaN,White,NaN,Automatic,0,0,0,0
41,"20,000 EUR",Saab,E28 535i M5 Sport,NaN,"223,000km",1985,Petrol,Coupe,White,NaN,Manual,0,0,0,0
42,"27,800 EUR",Saab,Cabrio,NaN,"147,799km",1985,Petrol,Saloon,Brown,NaN,Manual,0,0,0,0
43,"6,950 EUR",Saab,900,NaN,"225,500km",1985,Petrol,Classic,Red,NaN,Automatic,0,0,0,0
44,"8,500 EUR",Saab,900,NaN,"256,300km",1985,Petrol,Small,Black,NaN,Automatic,0,0,0,0
45,"3,800 EUR",Renault,R4,NaN,"98,000km",1985,Petrol,NaN,Red,NaN,Manual,0,0,0,0
46,"10,000 EUR",Renault,Espace,NaN,"166,000km",1985,Petrol,NaN,Gray,NaN,Manual,0,0,0,0
47,"2,500 EUR",Renault,R4,NaN,"100,000km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
48,"161,000 EUR",Renault,R5,NaN,"60,565km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
